id,invoice_id,produk_id,quantity,payment_id,jenis_pesanan,kurir_id,tanggal_transaksi,customer_id
1,1,15,3,3,2,,2021-01-01,25
2,2,18,1,6,2,,2021-01-01,43
3,3,12,1,1,2,,2021-01-01,60
4,4,7,1,6,2,,2021-01-01,79
5,5,2,2,5,1,3,2021-01-01,77
6,5,30,2,5,1,3,2021-01-01,60
7,6,6,2,2,2,,2021-01-02,55
8,7,5,3,1,2,,2021-01-02,6
9,8,16,2,4,1,1,2021-01-02,10
10,8,22,1,4,1,1,2021-01-02,10
11,9,2,2,1,2,,2021-01-03,15
12,10,10,3,6,2,,2021-01-03,71
13,10,23,1,6,2,,2021-01-03,71
14,11,14,3,6,1,3,2021-01-03,46
15,12,1,3,6,2,,2021-01-03,58
16,12,31,2,6,2,,2021-01-03,35
17,12,26,2,6,2,,2021-01-03,95
18,13,10,3,1,2,,2021-01-04,33
19,14,16,2,3,1,3,2021-01-04,93
20,14,26,2,3,1,3,2021-01-04,95
21,15,12,2,4,1,1,2021-01-04,41
22,15,25,1,4,1,1,2021-01-04,57
23,16,8,1,1,2,,2021-01-04,100
24,17,11,1,6,1,1,2021-01-04,98
25,18,2,1,6,1,2,2021-01-04,28
26,19,18,1,1,1,3,2021-01-04,92
27,20,9,3,6,2,,2021-01-04,84
28,21,18,2,6,1,3,2021-01-04,52
29,22,12,3,3,2,,2021-01-05,50
30,23,1,1,5,2,,2021-01-05,97
31,24,3,2,4,2,,2021-01-05,21
32,25,10,2,3,1,3,2021-01-05,57
33,26,10,3,1,2,,2021-01-06,95
34,27,12,2,5,2,,2021-01-06,95
35,28,8,1,4,2,,2021-01-07,24
36,29,6,2,1,2,,2021-01-07,96
37,30,17,1,2,2,,2021-01-07,60
38,30,26,2,2,2,,2021-01-07,95
39,31,12,2,5,2,,2021-01-08,35
40,32,2,3,3,1,3,2021-01-08,90
41,33,1,1,3,2,,2021-01-08,66
42,34,15,2,6,1,1,2021-01-08,5
43,35,1,3,4,1,1,2021-01-08,66
44,35,20,1,4,1,1,2021-01-08,66
45,36,1,2,6,2,,2021-01-08,28
